CRR,,CRR1.1,CRR1.2,CRR2.1,CRR2.2,CRR3.1,CRR3.2,CRR3.3,CRR4.1,CRR4.2,CRR4.3,CRR5.1,CRR5.2,CRR5.3,CRR6.1,CRR6.2,CRR7.1,CRR7.2,CRR8.1,CRR8.2,CRR8.3
PD,75,0.02,0.04,0.07,0.13,0.22,0.37,0.63,0.87,1.2,1.65,2.25,3.05,4.2,5.75,7.85,10,13,19,36,75
All_30JUN2008,,,,2933,,,1863,1436,1021,626,944,2189,398,241,678,176,148,44,142,38,34
All_31JUL2008,,,,,,3964,3094,2471,1645,1357,1727,4169,608,393,1317,312,323,116,239,63,71
All_31AUG2008,,871,,,2810,5717,4099,3195,2223,1862,2437,6176,854,535,1864,417,444,147,273,82,97
All_30SEP2008,,1140,,,4381,7315,5098,4259,2409,2382,3458,8014,1063,685,2392,542,546,169,325,98,112
All_31OCT2008,,1253,9519,,4811,8220,5766,4849,2812,2854,4264,9577,1214,857,2876,663,594,170,371,138,134
All_30NOV2008,3246,1351,9914,,5155,8993,6398,5347,3995,3159,4804,10982,1311,964,3371,765,689,187,391,158,154
All_31DEC2008,2765,1529,10433,,5899,9921,6962,5930,4208,3412,5282,12323,1419,1123,3698,830,784,199,420,174,163
All_31JAN2009,2816,1652,10870,9476,6427,10451,7606,6782,4518,3775,5713,13879,1575,1193,4241,886,898,217,449,180,182
All_28FEB2009,2792,,11447,9260,6659,11327,8290,7422,4927,4221,6277,15453,1703,1260,4655,953,1040,233,481,185,217
All_31MAR2009,2758,,11503,9195,7378,12199,8823,7607,5217,4520,6706,16869,1817,1361,5128,1045,1117,238,506,193,237
All_30APR2009,2823,,11694,9259,7466,12698,9432,8212,5509,4764,7055,18149,1956,1481,5337,1230,1132,249,514,204,260
All_31MAY2009,2992,,11905,9109,7955,13164,10013,8422,5750,4859,7505,19152,2153,1595,5456,1444,1196,270,545,209,297
All_30JUN2009,2756,,11505,9768,8360,13406,10192,8320,5929,5069,7497,19815,2205,1637,5663,1641,1256,248,505,215,339
All_31JUL2009,2760,,11693,9815,8365,13453,10213,8349,5871,5021,7556,20286,2266,1617,5746,1836,1318,282,502,226,398
