CRR,,CRR1.1,CRR1.2,CRR2.1,CRR2.2,CRR3.1,CRR3.2,CRR3.3,CRR4.1,CRR4.2,CRR4.3,CRR5.1,CRR5.2,CRR5.3,CRR6.1,CRR6.2,CRR7.1,CRR7.2,CRR8.1,CRR8.2,CRR8.3
PD,75,0.02,0.04,0.07,0.13,0.22,0.37,0.63,0.87,1.2,1.65,2.25,3.05,4.2,5.75,7.85,10,13,19,36,75
Def_30JUN2008,,,,1,,,4,3,6,5,18,35,6,2,65,18,35,4,16,10,15
Def_31JUL2008,,,,,,2,7,7,11,7,33,97,24,8,148,41,73,14,26,18,33
Def_31AUG2008,,1,,,1,4,11,13,12,10,52,143,27,10,231,54,123,17,26,21,43
Def_30SEP2008,,1,,,1,9,15,20,15,19,66,193,33,16,294,61,144,17,33,26,45
Def_31OCT2008,,1,1,,1,9,19,29,20,30,85,241,37,20,352,74,135,14,42,30,56
Def_30NOV2008,1,1,1,,2,16,21,32,28,41,113,292,40,25,433,92,160,22,51,42,61
Def_31DEC2008,2,1,1,,2,22,26,45,35,48,126,348,49,31,470,140,181,35,54,52,65
Def_31JAN2009,3,1,1,2,2,28,31,47,44,60,149,401,64,37,547,142,201,43,58,59,70
Def_28FEB2009,1,,1,2,4,31,56,53,61,72,172,463,71,34,603,145,252,49,64,55,87
Def_31MAR2009,4,,1,234,161,38,66,71,73,83,194,569,75,36,646,168,261,44,77,58,98
Def_30APR2009,4,,1,234,162,37,73,63,77,111,206,624,82,46,696,202,275,47,84,60,112
Def_31MAY2009,7,,1,234,77,41,73,74,84,117,215,633,161,52,709,239,303,52,86,59,122
Def_30JUN2009,11,,1,234,77,50,91,79,94,93,213,645,213,47,706,267,296,62,93,59,130
Def_31JUL2009,12,,1,235,75,46,76,87,99,99,199,652,192,42,705,298,321,78,99,69,161
Def_31AUG2009,11,,1,235,75,45,80,71,111,99,189,642,192,44,660,303,339,85,108,67,173
Def_30SEP2009,10,,,220,9,120,71,76,108,84,163,595,160,54,683,330,371,96,126,76,201
Def_31OCT2009,4,,,1,3,143,270,79,93,89,153,561,153,77,668,346,356,82,132,78,224
Def_30NOV2009,6,,,1,4,150,263,68,87,93,147,482,69,94,624,342,399,91,217,78,200
Def_31DEC2009,7,,,,4,146,261,78,85,95,137,463,40,91,624,331,411,88,219,84,232
Def_31JAN2010,7,,,,4,137,262,69,77,80,128,396,33,65,599,310,427,88,224,108,231
Def_28FEB2010,6,,,,2,34,56,67,70,73,130,350,27,43,586,322,390,91,148,105,259
Def_31MAR2010,8,,,,2,33,64,66,73,71,128,320,34,51,576,329,382,95,161,110,235
Def_30APR2010,8,,,,3,36,63,70,54,66,122,315,31,55,538,320,368,101,149,128,237
Def_31MAY2010,6,,,,4,41,60,64,51,67,113,281,25,48,537,301,388,96,161,114,247
Def_30JUN2010,2,,,,4,35,50,57,57,71,115,263,26,47,501,289,395,111,155,92,261
Def_31JUL2010,1,,,,5,30,52,57,62,75,107,267,30,39,460,277,407,117,141,77,277
Def_31AUG2010,1,,,,5,29,47,56,46,71,123,253,30,42,438,266,409,108,135,76,290
Def_30SEP2010,,,,,5,30,44,60,41,71,121,220,29,24,409,256,404,113,114,76,279
Def_31OCT2010,,,,,5,32,45,57,40,67,109,244,26,26,383,242,395,112,116,78,270
Def_30NOV2010,1,,,,6,30,43,55,34,64,101,234,24,23,340,220,384,116,135,90,258
Def_31DEC2010,2,,,,4,22,47,58,34,54,103,208,22,75,309,204,378,108,136,99,264
Def_31JAN2011,5,,,,4,24,50,48,33,52,101,192,19,72,291,186,355,112,130,98,275
Def_28FEB2011,4,,,,4,24,35,47,30,49,87,188,23,62,284,193,321,114,128,106,275
Def_31MAR2011,5,,1,,3,19,33,44,27,60,80,175,25,70,275,199,317,113,149,114,277
Def_30APR2011,42,,1,,2,18,30,34,25,33,72,170,29,63,261,188,306,112,157,96,267
Def_31MAY2011,43,,,,1,20,27,30,31,27,67,169,36,63,244,175,308,122,163,98,243
Def_30JUN2011,66,,,,,15,27,22,22,24,65,128,43,68,231,169,327,118,159,98,239
Def_31JUL2011,71,,,,1,13,27,18,15,20,57,115,43,53,231,161,333,123,160,107,249
Def_31AUG2011,84,,,,1,9,25,23,15,26,40,117,50,57,222,150,312,127,162,111,249
Def_30SEP2011,74,,,,1,6,21,21,17,30,41,106,51,56,216,150,298,131,160,106,260
Def_31OCT2011,81,,,,1,5,17,16,13,35,35,104,41,59,211,147,287,128,156,108,267
Def_30NOV2011,71,,,,,5,20,15,11,29,34,101,28,35,213,158,290,145,170,104,273
Def_31DEC2011,121,,,,,3,3,13,9,40,40,119,32,31,199,130,267,134,194,102,263
Def_31JAN2012,132,,,,,3,4,10,11,33,42,119,27,34,191,128,247,122,192,91,239
Def_29FEB2012,114,,,,,3,5,21,11,34,42,103,39,33,169,128,240,89,187,110,233
Def_31MAR2012,126,,,,,3,8,21,8,40,41,106,41,36,171,122,259,100,159,106,235
Def_30APR2012,120,,,,,3,9,20,12,39,40,107,39,45,188,122,238,98,160,108,211
Def_31MAY2012,98,,,,1,1,9,21,14,43,39,104,40,45,195,109,230,94,159,109,205
Def_30JUN2012,74,,,,1,1,7,14,21,53,39,110,39,39,165,122,215,98,149,107,215
Def_31JUL2012,78,,,,1,3,6,12,21,47,35,102,43,41,171,107,230,106,155,98,216
Def_31AUG2012,77,,,,1,3,5,17,28,40,32,105,45,52,182,98,212,108,159,97,215
Def_30SEP2012,68,,,,1,3,7,20,31,33,33,113,37,52,181,100,212,115,164,99,201
Def_31OCT2012,72,,,,1,4,8,18,21,27,28,130,32,50,179,96,246,104,164,88,183
Def_30NOV2012,39,,,,1,4,12,20,23,32,29,102,32,75,183,104,226,89,145,95,190
Def_31DEC2012,52,,,,1,5,12,12,35,27,33,102,32,96,172,109,217,80,141,95,198
Def_31JAN2013,48,,,,,6,14,12,27,25,56,115,33,153,155,102,200,85,151,96,186
Def_28FEB2013,57,,,,,8,9,17,30,21,58,97,37,143,163,97,195,86,144,108,174
Def_31MAR2013,56,,,,,7,9,19,32,15,39,102,53,142,162,88,188,125,120,96,174
Def_30APR2013,61,,,,,9,11,19,32,24,39,127,34,161,154,110,182,127,122,93,157
Def_31MAY2013,66,,,,,10,10,18,32,36,46,117,38,164,164,123,165,115,125,93,145
Def_30JUN2013,65,,,,,10,11,18,34,46,46,124,32,168,164,123,172,110,127,97,127
Def_31JUL2013,73,,,,,8,10,33,30,52,48,128,33,165,162,114,185,114,121,80,104
Def_31AUG2013,74,,,,,5,23,24,34,49,46,112,36,181,156,108,205,116,93,72,99
Def_30SEP2013,71,,,,,5,22,26,34,46,39,114,33,175,173,125,177,111,84,57,80
