CRR,,CRR1.1,CRR1.2,CRR2.1,CRR2.2,CRR3.1,CRR3.2,CRR3.3,CRR4.1,CRR4.2,CRR4.3,CRR5.1,CRR5.2,CRR5.3,CRR6.1,CRR6.2,CRR7.1,CRR7.2,CRR8.1,CRR8.2,CRR8.3
PD,75,0.02,0.04,0.07,0.13,0.22,0.37,0.63,0.87,1.2,1.65,2.25,3.05,4.2,5.75,7.85,10,13,19,36,75
DR_30JUN2008,,,,0.00034,,,0.00215,0.00209,0.00588,0.00799,0.01910,0.01600,0.01510,0.00830,0.09590,0.10200,0.23600,0.09090,0.11300,0.26300,0.44100
DR_31JUL2008,,,,,,0.00050,0.00226,0.00283,0.00669,0.00516,0.01910,0.02330,0.03950,0.02040,0.11200,0.13100,0.22600,0.12100,0.10900,0.28600,0.46500
DR_31AUG2008,,0.00115,,,0.00036,0.00070,0.00268,0.00407,0.00540,0.00537,0.02130,0.02320,0.03160,0.01870,0.12400,0.12900,0.27700,0.11600,0.09520,0.25600,0.44300
DR_30SEP2008,,0.00088,,,0.00023,0.00123,0.00294,0.00470,0.00623,0.00798,0.01910,0.02410,0.03100,0.02340,0.12300,0.11300,0.26400,0.10100,0.10200,0.26500,0.40200
DR_31OCT2008,,0.00080,0.00011,,0.00021,0.00109,0.00330,0.00598,0.00711,0.01050,0.01990,0.02520,0.03050,0.02330,0.12200,0.11200,0.22700,0.08240,0.11300,0.21700,0.41800
DR_30NOV2008,0.00031,0.00074,0.00010,,0.00039,0.00178,0.00328,0.00598,0.00701,0.01300,0.02350,0.02660,0.03050,0.02590,0.12800,0.12000,0.23200,0.11800,0.13000,0.26600,0.39600
DR_31DEC2008,0.00072,0.00065,0.00010,,0.00034,0.00222,0.00373,0.00759,0.00832,0.01410,0.02390,0.02820,0.03450,0.02760,0.12700,0.16900,0.23100,0.17600,0.12900,0.29900,0.39900
DR_31JAN2009,0.00107,0.00061,0.00009,0.00021,0.00031,0.00268,0.00408,0.00693,0.00974,0.01590,0.02610,0.02890,0.04060,0.03100,0.12900,0.16000,0.22400,0.19800,0.12900,0.32800,0.38500
DR_28FEB2009,0.00036,,0.00009,0.00022,0.00060,0.00274,0.00676,0.00714,0.01240,0.01710,0.02740,0.03000,0.04170,0.02700,0.13000,0.15200,0.24200,0.21000,0.13300,0.29700,0.40100
DR_31MAR2009,0.00145,,0.00009,0.02540,0.02180,0.00312,0.00748,0.00933,0.01400,0.01840,0.02890,0.03370,0.04130,0.02650,0.12600,0.16100,0.23400,0.18500,0.15200,0.30100,0.41400
