group_prod_code,instr_type,algo_reg_prod_type_desc,local_prod_code,Local_Product_Description,ccf,final_ccf, _FREQ_ , eop_bal_Sum , final_ead_Sum 
AODS,Revolver,RP_Commitment not LOC,CUA,,0.57,0.57," 60,124 ","-1,380,280,465 "," 6,718,801,293 "
AODS,Revolver,RP_Commitment not LOC,355,LE Negotiated IBCA,0.57,0.57," 11,042 "," 1,020,627,528 "," 3,203,164,467 "
AODS,Revolver,RP_Commitment not LOC,344,SME Negotiated Reg IBCA,0.57,0.57," 62,920 "," 1,408,495,861 "," 2,256,602,833 "
AODS,Revolver,RP_Commitment not LOC,349,SBT Regulated IBCA,0.57,0.57," 43,680 "," 434,600,324 "," 485,040,640 "
AODS,Revolver,RP_Commitment not LOC,354,LE Negotiated NIBCA,0.57,0.57," 1,179 "," 77,464,864 "," 237,535,539 "
AODS,Revolver,RP_Commitment not LOC,350,SME Negotiated NIBCA,0.57,0.57," 4,627 "," 176,280,615 "," 210,998,855 "
AODS,Revolver,RP_Commitment not LOC,356,SME Negotiated IBCA,0.57,0.57," 1,332 "," 25,711,091 "," 101,276,294 "
AODS,Revolver,RP_Commitment not LOC,67,SME C/A DIRECT,0.57,0.57," 2,890 "," 26,526,831 "," 24,193,938 "
AODS,Revolver,RP_Commitment not LOC,100,Community IBCA,0.57,0.57, 438 ," 1,344,004 "," 10,366,385 "
AODS,Revolver,RP_Commitment not LOC,359,FSA SME Negotiated Reg IBCA,0.57,0.57, 314 ," 7,795,033 "," 9,896,590 "
AODS,Revolver,RP_Commitment not LOC,363,FSA SBT Regulated IBCA,0.57,0.57, 259 ," 6,309,311 "," 6,730,323 "
AODS,Revolver,RP_Commitment not LOC,423,Switcher Neg Reg IBCA,0.57,0.57, 174 ," 4,299,246 "," 6,176,999 "
AODS,Revolver,RP_Commitment not LOC,346,SBT NIBCA,0.57,0.57, 159 ," 2,435,024 "," 2,197,894 "
AODS,Revolver,RP_Commitment not LOC,357,Switchers NIBCA,0.57,0.57, 254 ," 1,388,245 "," 1,825,484 "
AODS,Missing,,344,SME Negotiated Reg IBCA,0,0.57, 13 ," 1,282,146 "," 1,554,241 "
AODS,Revolver,RP_Commitment not LOC,422,Start Up Neg NIBCA,0.57,0.57, 56 ," 313,053 "," 662,239 "
AODS,Revolver,RP_Commitment not LOC,EFT,HUB C/A FOR EFT,0.57,0.57," 98,781 "," 34,052 "," 469,290 "
AODS,Revolver,RP_Commitment not LOC,57,START UP DIRECT CR INT,0.57,0.57, 424 ," 417,263 "," 369,653 "
AODS,Revolver,RP_Commitment not LOC,348,Switcher Reg IBCA,0.57,0.57, 51 ," 127,956 "," 311,239 "
AODS,Revolver,RP_Commitment not LOC,364,FSA SME Negotiated NIBCA,0.57,0.57, 8 ," 267,928 "," 303,240 "
AODS,Missing,,350,SME Negotiated NIBCA,0,0.57, 3 ," 120,169 "," 205,669 "
AODS,Revolver,RP_Commitment not LOC,415,FSA SME Negotiated IBCA,0.57,0.57, 1 , -   ," 114,381 "
AODS,Missing,,355,LE Negotiated IBCA,0,0.57, 1 ," 100,000 "," 100,000 "
AODS,Revolver,RP_Commitment not LOC,97,FSA SME C/A DIRECT,0.57,0.57, 6 ," 114,126 "," 92,400 "
AODS,Revolver,RP_Commitment not LOC,62,SWITCHER DIRECT,0.57,0.57, 119 ," 153,637 "," 79,374 "
AODS,Missing,,349,SBT Regulated IBCA,0,0.57, 10 ," 56,227 "," 74,532 "
AODS,Revolver,RP_Commitment not LOC,91,Start Up NIBCA,0.57,0.57, 12 ," 10,233 "," 60,497 "
AODS,Revolver,RP_Commitment not LOC,64,SME C/A DIRECT ABATEMENT,0.57,0.57, 9 ," 55,557 "," 55,148 "
AODS,Revolver,RP_Commitment not LOC,360,FSA SBT NIBCA,0.57,0.57, 1 ," 50,215 "," 50,717 "
AODS,Revolver,RP_Commitment not LOC,101,Community NIBCA,0.57,0.57, 4 , 12 ," 37,055 "
AODS,Revolver,RP_Commitment not LOC,362,FSA Switcher Reg IBCA,0.57,0.57, 1 ," 7,143 "," 20,183 "
AODS,Missing,,363,FSA SBT Regulated IBCA,0,0.57, 1 , -   ," 5,703 "
AODS,Revolver,RP_Commitment not LOC,347,Start Up Reg IBCA,0.57,0.57, 2 , -   ," 2,850 "
AODS,Revolver,RP_Commitment not LOC,CRO,,0.57,0.57, 62 ,"-10,640,696 ", 694 
AODS,Revolver,RP_Commitment not LOC,424,Switcher Neg IBCA,0.57,0.57, 1 , -   , 239 
AODS,Missing,,344,SME Negotiated Reg IBCA,0,0, 2 , -   , -   
AODS,Revolver,,67,SME C/A DIRECT,0.57,0.57, 1 , -   , -   
AODS,Revolver,,344,SME Negotiated Reg IBCA,0.57,0.57, 110 , -   , -   
AODS,Revolver,,346,SBT NIBCA,0.57,0.57, 1 , -   , -   
AODS,Revolver,,349,SBT Regulated IBCA,0.57,0.57, 88 , -   , -   
AODS,Revolver,,350,SME Negotiated NIBCA,0.57,0.57, 13 , -   , -   
AODS,Revolver,,355,LE Negotiated IBCA,0.57,0.57, 10 , -   , -   
AODS,Revolver,,359,FSA SME Negotiated Reg IBCA,0.57,0.57, 1 , -   , -   
AODS,Revolver,,363,FSA SBT Regulated IBCA,0.57,0.57, 1 , -   , -   
AODS,Revolver,,CUA,,0.57,0.57, 4 , -   , -   
AODS,Revolver,RP_Commitment not LOC,39,FSA START UP DIRECT,0.57,0.57, 1 , -   , -   
AODS,Revolver,RP_Commitment not LOC,425,Start Up Neg Reg IBCA,0.57,0.57, 1 , -   , -   
AODS,Revolver,RP_Commitment not LOC,MID,,0.57,0.57, 15 , -   , -   
ALNS,Term Loan,RP_Loan and Deposit,MMLYA,,0,0.5," 1,819 "," 10,761,950,651 "," 11,982,465,401 "
ALNS,Term Loan,RP_Loan and Deposit,MMLYA,,0,0," 1,666 "," 8,655,655,537 "," 10,025,732,371 "
ALNS,Term Loan,RP_Loan and Deposit,607,Business Loans Var. Rate,0,0," 32,358 "," 4,657,221,251 "," 4,662,197,488 "
ALNS,Term Loan,RP_Loan and Deposit,TLT,,0,0, 175 ," 7,211,973,755 "," 4,385,417,617 "
ALNS,Term Loan,RP_Loan and Deposit,CRN,,0,0," 3,150 ","-673,951,284 "," 2,611,926,129 "
ALNS,Term Loan,RP_Loan and Deposit,CDP,,0,0," 19,311 ","-6,632,576,858 "," 2,548,061,330 "
ALNS,Term Loan,RP_Loan and Deposit,TRFIN,Trade Finance,0,0, 280 ," 2,403,023,084 "," 2,409,528,747 "
ALNS,Term Loan,RP_Loan and Deposit,605,Commercial Mortgages,0,0," 6,890 "," 1,712,310,366 "," 1,680,645,217 "
